Time            fiSYS fiDIA fiMAP  HR   IBI  SV    CO   EJT    TPR Artifact Zao   Cwk Height
s                mmHg  mmHg  mmHg bpm     s  ml   lpm     s     MU _TPSROD2 mMU    MU   mmHg
0,000           [Res] 21071200  
0,000           [Res] 06265579  
0,000           [Res] BF v3.7   
0,000           [Res] BEATF-MF-2
0,000           [Res] BFmf32-2ch
0,000           [Res] mf-vs-3.21
0,000           [Res] TNOsamples
0,000           [Res] un-delayed
0,000           [Res] sfreq100Hz
0,000           [Res] preschan=1
0,000           [Res] p-site=FIN
0,000           [Res] unfiltered
0,005           [Por] Finger fixed, cuff C2
0,000           [Res] lvl-as-is-
0,000           [Res] calibration 100,0, at 15:03:57.000
0,000           [Res] Start sampling at 15:03:57.00
0,005           [Por] Male     34 y 168 cm  78 kg
0,000           [Res] Male     34 y 168 cm  81 kg
0,000           [Res] hitechan=2
0,000           [Res] markchan=0
0,000           [Res] select=EJT
0,740           [Por] Physiocal  on, Hgt off, C2
66,670            117    68    83  64 0,940  83  5,31 0,330  0,937 10001000  46  2,66    127
67,610            114    67    82  65 0,930  78  5,03 0,320  0,978 10001000  46  2,69    127
68,540            116    68    82  62 0,970  79  4,88 0,320  1,005 10000000  46  2,67    127
69,510            115    66    81  62 0,970  81  5,04 0,330  0,961 10000000  46  2,71    127
70,480            113    66    80  61 0,980  77  4,71 0,320  1,012 10000000  46  2,71    127
71,460            113    65    79  61 0,990  83  4,99 0,330  0,949 10000000  46  2,77    127
72,450            110    64    78  63 0,960  77  4,80 0,320  0,978 10000000  46  2,78    127
73,410            112    65    79  62 0,970  80  4,93 0,330  0,964 10000000  46  2,75    127
74,380            111    64    78  61 0,990  81  4,90 0,330  0,958 10000000  46  2,79    127
75,370            110    65    78  61 0,980  77  4,71 0,320  0,996 10000000  46  2,77    127
76,350            111    64    79  61 0,980  83  5,03 0,330  0,936 10000000  46  2,78    127
77,330            109    64    79  64 0,940  77  4,94 0,320  0,953 10001000  46  2,79    127
78,270            111    65    80  63 0,950  81  5,09 0,330  0,943 10000000  46  2,75    127
79,220            111    65    80  63 0,960  81  5,05 0,330  0,950 10100000  46  2,75    127
80,180            111    65    80  64 0,940  81  5,17 0,330  0,928 10100000  46  2,75    127
81,120            111    65    80  63 0,960  81  5,05 0,330  0,950 10100000  46  2,75    127
82,080            121    70    85  65 0,930  74  4,74 0,330  1,075 10100000  46  2,61    127
83,010            120    69    86  65 0,920  78  5,09 0,330  1,010 10001000  46  2,64    127
83,930            121    70    87  66 0,910  77  5,07 0,330  1,023 10001000  46  2,61    127
84,840            120    71    85  68 0,880  75  5,07 0,330  1,000 10001000  46  2,57    127
85,720            120    69    86  71 0,840  76  5,42 0,320  0,946 10000000  46  2,63    127
86,560            123    71    88  72 0,830  80  5,80 0,330  0,907 10000000  46  2,57    127
87,390            125    72    88  70 0,860  79  5,51 0,330  0,952 10001000  46  2,53    127
88,250            124    72    85  66 0,910  76  5,02 0,320  1,015 10001000  46  2,53    127
89,160            119    70    83  67 0,900  72  4,77 0,310  1,040 10000000  46  2,61    127
90,060            121    70    83  67 0,900  71  4,69 0,330  1,061 10000000  46  2,59    127
90,960            122    69    83  65 0,930  75  4,85 0,340  1,020 10001000  46  2,64    127
91,890            119    69    81  65 0,920  73  4,71 0,320  1,035 10001000  46  2,65    127
92,810            117    68    80  66 0,910  71  4,65 0,330  1,032 10001000  46  2,67    127
93,720            114    67    79  67 0,900  68  4,52 0,330  1,042 10001000  46  2,71    127
94,620            112    67    79  67 0,900  67  4,42 0,330  1,065 10000000  46  2,71    127
95,520            116    67    81  66 0,910  73  4,83 0,320  1,006 10000000  46  2,69    127
96,430            117    67    82  65 0,920  75  4,84 0,320  1,019 10000000  46  2,68    127
97,350            120    69    83  60 1,000  77  4,61 0,330  1,077 10001000  46  2,63    127
98,350            119    67    81  59 1,010  80  4,75 0,330  1,026 10000000  46  2,70    127
99,360            116    66    80  61 0,980  75  4,59 0,320  1,049 10001000  46  2,71    127
100,340           116    66    80  61 0,990  79  4,79 0,330  0,998 10001000  46  2,74    127
101,330           112    65    81  65 0,930  78  5,03 0,330  0,966 10001000  46  2,77    127
102,260           116    68    83  63 0,960  79  4,95 0,330  1,000 10001000  46  2,67    127
103,220           119    67    84  62 0,970  90  5,60 0,330  0,902 10001000  46  2,71    127
104,190           119    69    84  63 0,960  81  5,06 0,330  0,993 10001000  46  2,63    127
105,150           118    68    83  63 0,960  81  5,05 0,330  0,983 10001000  46  2,67    127
106,110           117    68    82  63 0,950  79  4,96 0,330  0,994 10000000  46  2,68    127
107,060           116    68    82  65 0,920  75  4,86 0,340  1,012 10001000  46  2,67    127
107,980           117    68    81  65 0,920  74  4,79 0,330  1,014 10000000  46  2,68    127
108,900           113    67    81  68 0,880  74  5,02 0,330  0,968 10100000  46  2,71    127
109,780           113    67    81  69 0,870  74  5,09 0,330  0,954 10100000  46  2,71    127
110,650           113    67    81  53 1,130  74  3,91 0,330  1,242 10100000  46  2,71    127
111,780           113    67    81  79 0,760  74  5,83 0,330  0,833 10100000  46  2,71    127
