Time            fiSYS fiDIA fiMAP  HR   IBI  SV    CO   EJT    TPR Artifact Zao   Cwk Height
s                mmHg  mmHg  mmHg bpm     s  ml   lpm     s     MU _TPSROD2 mMU    MU   mmHg
0,000           [Res] 21071400  
0,000           [Res] 03483511  
0,000           [Res] BF v3.7   
0,000           [Res] BEATF-MF-2
0,000           [Res] BFmf32-2ch
0,000           [Res] mf-vs-3.21
0,000           [Res] TNOsamples
0,000           [Res] un-delayed
0,000           [Res] sfreq100Hz
0,000           [Res] preschan=1
0,000           [Res] p-site=FIN
0,000           [Res] unfiltered
0,005           [Por] Finger fixed, cuff C2
0,000           [Res] lvl-as-is-
0,000           [Res] calibration 100,0, at 12:37:20.000
0,000           [Res] Start sampling at 12:37:20.00
0,005           [Por] Male     34 y 168 cm  78 kg
0,000           [Res] Female   23 y 173 cm  60 kg
0,000           [Res] hitechan=2
0,000           [Res] markchan=0
0,000           [Res] select=EJT
0,545           [Por] Physiocal  on, Hgt off, C2
90,210            116    61    76  44 1,370  68  2,97 0,360  1,540 10000000  66  2,34    127
91,580            109    62    73  45 1,330  53  2,40 0,350  1,825 10000000  65  2,33    127
92,910            115    62    78  44 1,360  68  2,97 0,370  1,565 10000000  65  2,33    127
94,270            116    64    80  46 1,300  60  2,76 0,360  1,728 10000000  65  2,31    127
95,570            128    68    84  44 1,370  72  3,16 0,310  1,599 10000000  65  2,25    127
96,940            129    69    90  45 1,340  75  3,35 0,330  1,607 10001000  65  2,24    127
98,280            118    75    79  58 1,040  43  2,46 0,300  1,926 10000000  65  2,10    127
99,320            114    70    84  51 1,170  65  3,36 0,290  1,491 10000010  65  2,21    127
100,490           130    66    81  55 1,090  73  4,00 0,500  1,218 10000000  65  2,28    127
101,580           130    66    87  72 0,830  67  4,84 0,360  1,072 10000000  65  2,27    127
102,410            77    68    70 143 0,420  12  1,68 0,220  2,491 10001000  65  2,25    127
102,830           124    64    80  79 0,760  61  4,78 0,360  1,001 10000000  65  2,31    127
103,590            85    55    70 143 0,420  56  8,01 0,370  0,522 10001010  67  2,36    127
